Date,Open,High,Low,Close,Volume
01/25/2017,130.00,131.74,129.77,131.48,18777314
01/26/2017,131.63,133.14,131.44,132.78,20020141
01/27/2017,132.68,132.95,131.08,132.18,19539514
01/30/2017,131.58,131.58,129.60,130.98,18956095
01/31/2017,130.17,130.66,129.52,130.32,19790484
02/01/2017,132.25,133.49,130.68,133.23,50139775
02/02/2017,133.22,135.49,130.40,130.84,54366447
02/03/2017,131.24,132.85,130.76,130.98,24804890
02/06/2017,130.98,132.06,130.30,132.06,17058494
02/07/2017,132.24,133.00,131.66,131.84,14596449
02/08/2017,132.60,134.44,132.44,134.20,22390556
02/09/2017,134.49,134.50,133.31,134.14,16470609
02/10/2017,134.10,134.94,133.68,134.19,15061939
02/13/2017,134.70,134.70,133.70,134.05,13526221
02/14/2017,134.10,134.23,132.55,133.85,14364877
02/15/2017,133.45,133.70,132.66,133.44,13226534
02/16/2017,133.07,133.87,133.02,133.84,12831092
02/17/2017,133.50,134.09,133.17,133.53,12276490
02/21/2017,133.50,133.91,132.90,133.72,14759109
02/22/2017,133.60,136.79,133.46,136.12,27360092
02/23/2017,135.89,136.12,134.33,135.36,18422549
02/24/2017,134.16,135.62,134.16,135.44,12625742
02/27/2017,135.26,137.18,135.02,136.41,14306668
02/28/2017,136.79,136.80,134.75,135.54,16112092
03/01/2017,136.47,137.48,136.30,137.42,16257010
03/02/2017,137.09,137.82,136.31,136.76,12294804
03/03/2017,136.63,137.33,136.08,137.17,11160563
03/06/2017,136.88,137.83,136.51,137.42,12748179
03/07/2017,137.03,138.37,136.99,137.30,13527132
03/08/2017,137.15,137.99,137.05,137.72,10184514
03/09/2017,137.72,138.57,137.40,138.24,15535259
03/10/2017,138.91,139.49,138.22,138.79,16314113
03/13/2017,138.71,139.68,138.67,139.60,10955450
03/14/2017,139.46,139.46,138.52,139.32,12944018
03/15/2017,139.29,140.10,138.49,139.72,19344826
03/16/2017,140.20,140.25,139.73,139.99,13612942
03/17/2017,140.34,140.34,139.70,139.84,20592818
03/20/2017,139.71,140.19,139.25,139.94,12099471
03/21/2017,141.15,142.31,138.40,138.51,29894784
03/22/2017,137.93,139.79,137.60,139.59,17055449
03/23/2017,139.48,140.39,139.09,139.53,13022801
03/24/2017,140.08,141.02,139.76,140.34,16664683
03/27/2017,139.05,140.65,138.77,140.32,12800544
03/28/2017,140.36,141.95,140.01,141.76,14679436
03/29/2017,141.99,142.86,141.43,142.65,16527574
03/30/2017,142.40,142.95,141.85,142.41,12403997
03/31/2017,142.31,142.63,141.89,142.05,11478265
04/03/2017,141.93,142.47,140.82,142.28,13563960
04/04/2017,141.86,142.09,141.27,141.73,12948599
04/05/2017,142.26,143.44,141.29,141.85,17158059
04/06/2017,142.11,142.22,140.91,141.17,15103426
04/07/2017,141.20,141.55,140.24,140.78,11818341
04/10/2017,141.00,141.43,140.63,141.04,9039366
04/11/2017,140.80,141.03,138.81,139.92,16638087
04/12/2017,139.72,140.40,139.44,139.58,11612456
04/13/2017,139.62,140.58,139.33,139.39,10965614
04/17/2017,139.76,141.55,139.75,141.42,11519663
04/18/2017,141.27,141.90,140.61,140.96,14807472
04/19/2017,141.35,143.04,141.27,142.27,15563945
04/20/2017,142.95,144.25,142.69,143.80,15968164
04/21/2017,143.90,144.17,142.27,143.68,12382002
04/24/2017,144.96,145.67,144.34,145.47,14407175
04/25/2017,145.79,147.15,145.79,146.49,17767523
04/26/2017,147.09,147.59,146.09,146.56,12394959
04/27/2017,146.67,147.75,146.14,147.70,11275112
04/28/2017,149.50,151.53,149.07,150.25,30652248
05/01/2017,151.74,152.57,151.42,152.46,25218300
05/02/2017,153.34,153.44,151.66,152.78,21870380
05/03/2017,153.60,153.60,151.34,151.80,29782492
05/04/2017,150.17,151.52,148.72,150.85,36225452
05/05/2017,151.45,151.63,149.79,150.24,17148543
05/08/2017,150.71,151.08,149.74,151.06,15827488
05/09/2017,151.49,152.59,150.21,150.48,17453859
05/10/2017,150.23,150.52,148.86,150.29,12080650
05/11/2017,150.31,150.65,149.41,150.04,11841864
05/12/2017,150.40,150.46,149.63,150.33,9598229
05/15/2017,150.17,151.48,149.77,150.19,15064664
05/16/2017,150.11,150.21,149.03,149.78,14550830
05/17/2017,148.00,148.67,144.42,144.85,28300050
05/18/2017,144.72,148.15,144.51,147.66,23031566
05/19/2017,148.44,149.39,147.96,148.06,16187892
05/22/2017,148.08,148.59,147.69,148.24,12586712
05/23/2017,148.52,148.81,147.25,148.07,12817837
05/24/2017,148.51,150.23,148.42,150.04,17940668
05/25/2017,150.30,152.59,149.95,151.96,19891352
05/26/2017,152.23,152.25,151.15,152.13,14996185
05/30/2017,151.97,152.90,151.64,152.38,13226007
05/31/2017,152.70,153.35,151.09,151.46,18023917
06/01/2017,151.75,152.29,150.30,151.53,14530600
06/02/2017,151.85,153.63,151.30,153.61,16854365
06/05/2017,153.64,154.71,153.41,153.63,12520387
06/06/2017,153.41,154.52,152.48,152.81,13457119
06/07/2017,153.27,153.75,152.34,153.12,12066657
06/08/2017,154.08,154.73,153.10,154.71,17799449
06/09/2017,154.77,155.59,146.61,149.60,35577676
06/12/2017,148.17,149.20,144.56,148.44,33170180
06/13/2017,150.15,151.18,148.90,150.68,20483350
06/14/2017,151.26,152.40,149.05,150.25,20808759
06/15/2017,147.67,150.04,146.37,149.80,18994152
06/16/2017,149.59,150.83,148.60,150.64,22882417
06/19/2017,151.71,153.57,151.71,152.87,19026462
06/20/2017,152.88,153.84,152.21,152.25,14743853
06/21/2017,152.36,154.08,151.88,153.91,15039834
06/22/2017,153.01,154.55,152.91,153.40,13005535
06/23/2017,152.72,155.20,152.65,155.07,18026977
06/26/2017,156.25,156.50,153.20,153.59,18049651
06/27/2017,152.84,153.31,150.39,150.58,19360766
06/28/2017,150.92,153.47,149.86,153.24,16719104
06/29/2017,152.28,152.50,148.92,151.04,23973482
06/30/2017,151.90,151.92,150.06,150.98,17666022
07/03/2017,151.72,152.15,147.80,148.43,13862735
07/05/2017,149.00,150.85,148.13,150.34,14334290
07/06/2017,149.03,150.04,148.00,148.82,14951802
07/07/2017,149.25,151.99,149.19,151.44,13615931
07/10/2017,151.69,153.98,151.51,153.50,13378672
07/11/2017,153.37,155.42,152.91,155.27,13667744
07/12/2017,156.49,159.16,156.20,158.90,22739388
07/13/2017,158.74,159.78,158.42,159.26,13929236
07/14/2017,160.13,160.32,159.33,159.97,16371207
07/17/2017,160.25,160.78,158.81,159.73,12858836
07/18/2017,159.66,163.73,159.42,162.86,23722910
07/19/2017,163.59,165.70,163.17,164.14,26273642
07/20/2017,164.80,165.00,162.81,164.53,18523107
07/21/2017,164.16,165.05,163.75,164.43,14744002
07/24/2017,164.64,166.17,164.31,166.00,17366971
