Date,Open,High,Low,Close,Volume
08/17/2017,942.95,943.81,927.64,927.66,1695694
08/18/2017,926.98,931.02,923.45,926.18,1337404
08/21/2017,925.77,928.25,918.60,920.87,1301243
08/22/2017,926.96,941.96,926.17,940.40,1775099
08/23/2017,937.00,945.42,935.24,942.58,1134464
08/24/2017,943.71,946.31,930.74,936.89,1294559
08/25/2017,939.21,940.73,930.10,930.50,1187313
08/28/2017,931.88,934.85,926.11,928.13,1049397
08/29/2017,919.95,938.19,919.31,935.75,1158576
08/30/2017,935.67,945.86,934.05,943.63,1120342
08/31/2017,946.30,957.20,946.25,955.24,1693313
09/01/2017,957.47,958.33,950.28,951.99,1042885
09/05/2017,946.86,951.39,935.60,941.48,1460830
09/06/2017,943.87,944.50,932.68,942.02,1391529
09/07/2017,944.25,950.50,937.53,949.89,1116575
09/08/2017,949.70,950.70,940.01,941.41,999916
09/11/2017,947.20,952.68,941.00,943.29,1337365
09/12/2017,946.92,948.08,937.50,946.65,1284787
09/13/2017,945.50,952.85,944.74,950.44,1095382
09/14/2017,946.00,948.03,938.36,940.13,1427379
09/15/2017,940.09,941.75,931.25,935.29,1994265
09/18/2017,935.01,936.86,925.40,929.75,1473651
09/19/2017,933.41,937.94,926.66,936.86,1242726
09/20/2017,937.73,950.00,937.50,947.54,2004018
09/21/2017,948.13,952.80,939.38,947.55,1370685
09/22/2017,942.77,950.00,940.84,943.26,1074806
09/25/2017,939.45,939.75,924.51,934.28,1873375
09/26/2017,936.69,944.08,935.12,937.43,1672749
09/27/2017,942.74,965.43,941.95,959.90,2327854
09/28/2017,956.25,966.18,955.55,964.81,1400931
09/29/2017,966.00,975.81,966.00,973.72,2031092
